AC00	1100 1161
ACB2	1100 1167 11B1
ACB3	1100 1167 11B2
ACB4	1100 1167 11B3
ACB5	1100 1167 11B4
ACB6	1100 1167 11B5
ACB7	1100 1167 11B6
ACB8	1100 1167 11B7
ACB9	1100 1167 11B8
ACBA	1100 1167 11B9
ACBB	1100 1167 11BA
ACBC	1100 1167 11BB
ACBD	1100 1167 11BC
ACBE	1100 1167 11BD
ACBF	1100 1167 11BE
ACC0	1100 1167 11BF
ACC1	1100 1167 11C0
ACC2	1100 1167 11C1
ACC3	1100 1167 11C2
ACC4	1100 1168
ACC5	1100 1168 11A8
ACC6	1100 1168 11A9
ACC7	1100 1168 11AA
ACC8	1100 1168 11AB
ACC9	1100 1168 11AC
ACCA	1100 1168 11AD
ACCB	1100 1168 11AE
ACCC	1100 1168 11AF
ACCD	1100 1168 11B0
ACCE	1100 1168 11B1
ACCF	1100 1168 11B2
ACD0	1100 1168 11B3
ACD1	1100 1168 11B4
ACD2	1100 1168 11B5
ACD3	1100 1168 11B6
ACD4	1100 1168 11B7
ACD5	1100 1168 11B8
ACD6	1100 1168 11B9
ACD7	1100 1168 11BA
ACD8	1100 1168 11BB
ACD9	1100 1168 11BC
ACDA	1100 1168 11BD
ACDB	1100 1168 11BE
ACDC	1100 1168 11BF
ACDD	1100 1168 11C0
ACDE	1100 1168 11C1
ACDF	1100 1168 11C2
ACE0	1100 1169
ACE1	1100 1169 11A8
ACE2	1100 1169 11A9
ACE3	1100 1169 11AA
ACE4	1100 1169 11AB
ACE5	1100 1169 11AC
ACE6	1100 1169 11AD
ACE7	1100 1169 11AE
ACE8	1100 1169 11AF
ACE9	1100 1169 11B0
ACEA	1100 1169 11B1
ACEB	1100 1169 11B2
ACEC	1100 1169 11B3
ACED	1100 1169 11B4
ACEE	1100 1169 11B5
ACEF	1100 1169 11B6
ACF0	1100 1169 11B7
ACF1	1100 1169 11B8
ACF2	1100 1169 11B9
ACF3	1100 1169 11BA
ACF4	1100 1169 11BB
ACF5	1100 1169 11BC
ACF6	1100 1169 11BD
ACF7	1100 1169 11BE
ACF8	1100 1169 11BF
ACF9	1100 1169 11C0
ACFA	1100 1169 11C1
ACFB	1100 1169 11C2
ACFC	1100 116A
ACFD	1100 116A 11A8
ACFE	1100 116A 11A9
ACFF	1100 116A 11AA
AD00	1100 116A 11AB
AD01	1100 116A 11AC
AD02	1100 116A 11AD
AD03	1100 116A 11AE
AD04	1100 116A 11AF
AD05	1100 116A 11B0
AD06	1100 116A 11B1
AD07	1100 116A 11B2
AD08	1100 116A 11B3
AD09	1100 116A 11B4
AD0A	1100 116A 11B5
AD0B	1100 116A 11B6
AD0C	1100 116A 11B7
AD0D	1100 116A 11B8
AD0E	1100 116A 11B9
AD0F	1100 116A 11BA
AD10	1100 116A 11BB
AD11	1100 116A 11BC
AD12	1100 116A 11BD
AD13	1100 116A 11BE
AD14	1100 116A 11BF
AD15	1100 116A 11C0
AD16	1100 116A 11C1
AD17	1100 116A 11C2
AD18	1100 116B
AD19	1100 116B 11A8
AD1A	1100 116B 11A9
AD1B	1100 116B 11AA
AD1C	1100 116B 11AB
AD1D	1100 116B 11AC
AD1E	1100 116B 11AD
AD1F	1100 116B 11AE
AD20	1100 116B 11AF
AD21	1100 116B 11B0
AD22	1100 116B 11B1
AD23	1100 116B 11B2
AD24	1100 116B 11B3
AD25	1100 116B 11B4
AD26	1100 116B 11B5
AD27	1100 116B 11B6
AD28	1100 116B 11B7
AD29	1100 116B 11B8
AD2A	1100 116B 11B9
AD2B	1100 116B 11BA
AD2C	1100 116B 11BB
AD2D	1100 116B 11BC
AD2E	1100 116B 11BD
AD2F	1100 116B 11BE
AD30	1100 116B 11BF
AD31	1100 116B 11C0
AD32	1100 116B 11C1
AD33	1100 116B 11C2
AD34	1100 116C
AD35	1100 116C 11A8
AD36	1100 116C 11A9
AD37	1100 116C 11AA
AD38	1100 116C 11AB
AD39	1100 116C 11AC
AD3A	1100 116C 11AD
AD3B	1100 116C 11AE
AD3C	1100 116C 11AF
AD3D	1100 116C 11B0
AD3E	1100 116C 11B1
AD3F	1100 116C 11B2
AD40	1100 116C 11B3
AD41	1100 116C 11B4
AD42	1100 116C 11B5
AD43	1100 116C 11B6
AD44	1100 116C 11B7
AD45	1100 116C 11B8
AD46	1100 116C 11B9
AD47	1100 116C 11BA
AD48	1100 116C 11BB
AD49	1100 116C 11BC
AD4A	1100 116C 11BD
AD4B	1100 116C 11BE
AD4C	1100 116C 11BF
AD4D	1100 116C 11C0
AD4E	1100 116C 11C1
AD4F	1100 116C 11C2
AD50	1100 116D
AD51	1100 116D 11A8
AD52	1100 116D 11A9
AD53	1100 116D 11AA
AD54	1100 116D 11AB
AD55	1100 116D 11AC
AD56	1100 116D 11AD
AD57	1100 116D 11AE
AD58	1100 116D 11AF
AD59	1100 116D 11B0
AD5A	1100 116D 11B1
AD5B	1100 116D 11B2
AD5C	1100 116D 11B3
AD5D	1100 116D 11B4
AD5E	1100 116D 11B5
AD5F	1100 116D 11B6
AD60	1100 116D 11B7
AD61	1100 116D 11B8
AD62	1100 116D 11B9
AD63	1100 116D 11BA
AD64	1100 116D 11BB
AD65	1100 116D 11BC
AD66	1100 116D 11BD
AD67	1100 116D 11BE
AD68	1100 116D 11BF
AD69	1100 116D 11C0
AD6A	1100 116D 11C1
AD6B	1100 116D 11C2
AD6C	1100 116E
AD6D	1100 116E 11A8
AD6E	1100 116E 11A9
AD6F	1100 116E 11AA
AD70	1100 116E 11AB
AD71	1100 116E 11AC
AD72	1100 116E 11AD
AD73	1100 116E 11AE
AD74	1100 116E 11AF
AD75	1100 116E 11B0
AD76	1100 116E 11B1
AD77	1100 116E 11B2
AD78	1100 116E 11B3
AD79	1100 116E 11B4
AD7A	1100 116E 11B5
AD7B	1100 116E 11B6
AD7C	1100 116E 11B7
AD7D	1100 116E 11B8
AD7E	1100 116E 11B9
AD7F	1100 116E 11BA
AD80	1100 116E 11BB
AD81	1100 116E 11BC
AD82	1100 116E 11BD
AD83	1100 116E 11BE
AD84	1100 116E 11BF
AD85	1100 116E 11C0
AD86	1100 116E 11C1
AD87	1100 116E 11C2
AD88	1100 116F
AD89	1100 116F 11A8
AD8A	1100 116F 11A9
AD8B	1100 116F 11AA
AD8C	1100 116F 11AB
AD8D	1100 116F 11AC
AD8E	1100 116F 11AD
AD8F	1100 116F 11AE
AD90	1100 116F 11AF
AD91	1100 116F 11B0
AD92	1100 116F 11B1
AD93	1100 116F 11B2
AD94	1100 116F 11B3
AD95	1100 116F 11B4
AD96	1100 116F 11B5
AD97	1100 116F 11B6
AD98	1100 116F 11B7
AD99	1100 116F 11B8
AD9A	1100 116F 11B9
AD9B	1100 116F 11BA
AD9C	1100 116F 11BB
AD9D	1100 116F 11BC
AD9E	1100 116F 11BD
AD9F	1100 116F 11BE
ADA0	1100 116F 11BF
ADA1	1100 116F 11C0
ADA2	1100 116F 11C1
ADA3	1100 116F 11C2
ADA4	1100 1170
ADA5	1100 1170 11A8
ADA6	1100 1170 11A9
ADA7	1100 1170 11AA
ADA8	1100 1170 11AB
ADA9	1100 1170 11AC
ADAA	1100 1170 11AD
ADAB	1100 1170 11AE
ADAC	1100 1170 11AF
ADAD	1100 1170 11B0
ADAE	1100 1170 11B1
ADAF	1100 1170 11B2
ADB0	1100 1170 11B3
ADB1	1100 1170 11B4
ADB2	1100 1170 11B5
ADB3	1100 1170 11B6
ADB4	1100 1170 11B7
ADB5	1100 1170 11B8
ADB6	1100 1170 11B9
ADB7	1100 1170 11BA
ADB8	1100 1170 11BB
ADB9	1100 1170 11BC
ADBA	1100 1170 11BD
ADBB	1100 1170 11BE
ADBC	1100 1170 11BF
ADBD	1100 1170 11C0
ADBE	1100 1170 11C1
ADBF	1100 1170 11C2
ADC0	1100 1171
ADC1	1100 1171 11A8
ADC2	1100 1171 11A9
ADC3	1100 1171 11AA
ADC4	1100 1171 11AB
ADC5	1100 1171 11AC
ADC6	1100 1171 11AD
ADC7	1100 1171 11AE
ADC8	1100 1171 11AF
ADC9	1100 1171 11B0
ADCA	1100 1171 11B1
ADCB	1100 1171 11B2
ADCC	1100 1171 11B3
ADCD	1100 1171 11B4
ADCE	1100 1171 11B5
ADCF	1100 1171 11B6
ADD0	1100 1171 11B7
ADD1	1100 1171 11B8
ADD2	1100 1171 11B9
ADD3	1100 1171 11BA
ADD4	1100 1171 11BB
ADD5	1100 1171 11BC
ADD6	1100 1171 11BD
ADD7	1100 1171 11BE
ADD8	1100 1171 11BF
ADD9	1100 1171 11C0
ADDA	1100 1171 11C1
ADDB	1100 1171 11C2
ADDC	1100 1172
ADDD	1100 1172 11A8
ADDE	1100 1172 11A9
ADDF	1100 1172 11AA
ADE0	1100 1172 11AB
ADE1	1100 1172 11AC
ADE2	1100 1172 11AD
ADE3	1100 1172 11AE
ADE4	1100 1172 11AF
ADE5	1100 1172 11B0
ADE6	1100 1172 11B1
ADE7	1100 1172 11B2
ADE8	1100 1172 11B3
ADE9	1100 1172 11B4
ADEA	1100 1172 11B5
ADEB	1100 1172 11B6
ADEC	1100 1172 11B7
ADED	1100 1172 11B8
ADEE	1100 1172 11B9
ADEF	1100 1172 11BA
ADF0	1100 1172 11BB
ADF1	1100 1172 11BC
ADF2	1100 1172 11BD
ADF3	1100 1172 11BE
ADF4	1100 1172 11BF
ADF5	1100 1172 11C0
ADF6	1100 1172 11C1
ADF7	1100 1172 11C2
ADF8	1100 1173
ADF9	1100 1173 11A8
ADFA	1100 1173 11A9
ADFB	1100 1173 11AA
ADFC	1100 1173 11AB
ADFD	1100 1173 11AC
ADFE	1100 1173 11AD
ADFF	1100 1173 11AE
AE00	1100 1173 11AF
AE01	1100 1173 11B0
AE02	1100 1173 11B1
AE03	1100 1173 11B2
AE04	1100 1173 11B3
AE05	1100 1173 11B4
AE06	1100 1173 11B5
AE07	1100 1173 11B6
AE08	1100 1173 11B7
AE09	1100 1173 11B8
AE0A	1100 1173 11B9
AE0B	1100 1173 11BA
AE0C	1100 1173 11BB
AE0D	1100 1173 11BC
AE0E	1100 1173 11BD
AE0F	1100 1173 11BE
AE10	1100 1173 11BF
AE11	1100 1173 11C0
AE12	1100 1173 11C1
AE13	1100 1173 11C2
AE14	1100 1174
AE15	1100 1174 11A8
AE16	1100 1174 11A9
AE17	1100 1174 11AA
AE18	1100 1174 11AB
AE19	1100 1174 11AC
AE1A	1100 1174 11AD
AE1B	1100 1174 11AE
AE1C	1100 1174 11AF
AE1D	1100 1174 11B0
AE1E	1100 1174 11B1
AE1F	1100 1174 11B2
AE20	1100 1174 11B3
AE21	1100 1174 11B4
AE22	1100 1174 11B5
AE23	1100 1174 11B6
AE24	1100 1174 11B7
AE25	1100 1174 11B8
AE26	1100 1174 11B9
AE27	1100 1174 11BA
AE28	1100 1174 11BB
AE29	1100 1174 11BC
AE2A	1100 1174 11BD
AE2B	1100 1174 11BE
AE2C	1100 1174 11BF
AE2D	1100 1174 11C0
AE2E	1100 1174 11C1
AE2F	1100 1174 11C2
AE30	1100 1175
AE31	1100 1175 11A8
AE32	1100 1175 11A9
AE33	1100 1175 11AA
AE34	1100 1175 11AB
AE35	1100 1175 11AC
AE36	1100 1175 11AD
AE37	1100 1175 11AE
AE38	1100 1175 11AF
AE39	1100 1175 11B0
AE3A	1100 1175 11B1
AE3B	1100 1175 11B2
AE3C	1100 1175 11B3
AE3D	1100 1175 11B4
AE3E	1100 1175 11B5
AE3F	1100 1175 11B6
AE40	1100 1175 11B7
AE41	1100 1175 11B8
AE42	1100 1175 11B9
AE43	1100 1175 11BA
AE44	1100 1175 11BB
AE45	1100 1175 11BC
AE46	1100 1175 11BD
AE47	1100 1175 11BE
AE48	1100 1175 11BF
AE49	1100 1175 11C0
AE4A	1100 1175 11C1
AE4B	1100 1175 11C2
AE4C	1101 1161
AE4D	1101 1161 11A8
AE4E	1101 1161 11A9
AE4F	1101 1161 11AA
AE50	1101 1161 11AB
AE51	1101 1161 11AC
AE52	1101 1161 11AD
AE53	1101 1161 11AE
AE54	1101 1161 11AF
AE55	1101 1161 11B0
AE56	1101 1161 11B1
AE57	1101 1161 11B2
AE58	1101 1161 11B3
AE59	1101 1161 11B4
AE5A	1101 1161 11B5
AE5B	1101 1161 11B6
AE5C	1101 1161 11B7
AE5D	1101 1161 11B8
AE5E	1101 1161 11B9
AE5F	1101 1161 11BA
AE60	1101 1161 11BB
AE61	1101 1161 11BC
AE62	1101 1161 11BD
AE63	1101 1161 11BE
AE64	1101 1161 11BF
AE65	1101 1161 11C0
AE66	1101 1161 11C1
AE67	1101 1161 11C2
AE68	1101 1162
AE69	1101 1162 11A8
AE6A	1101 1162 11A9
AE6B	1101 1162 11AA
AE6C	1101 1162 11AB
AE6D	1101 1162 11AC
AE6E	1101 1162 11AD
AE6F	1101 1162 11AE
AE70	1101 1162 11AF
AE71	1101 1162 11B0
AE72	1101 1162 11B1
AE73	1101 1162 11B2
AE74	1101 1162 11B3
AE75	1101 1162 11B4
AE76	1101 1162 11B5
AE77	1101 1162 11B6
AE78	1101 1162 11B7
AE79	1101 1162 11B8
AE7A	1101 1162 11B9
AE7B	1101 1162 11BA
AE7C	1101 1162 11BB
AE7D	1101 1162 11BC
AE7E	1101 1162 11BD
AE7F	1101 1162 11BE
AE80	1101 1162 11BF
AE81	1101 1162 11C0
AE82	1101 1162 11C1
AE83	1101 1162 11C2
AE84	1101 1163
AE85	1101 1163 11A8
AE86	1101 1163 11A9
AE87	1101 1163 11AA
AE88	1101 1163 11AB
AE89	1101 1163 11AC
AE8A	1101 1163 11AD
AE8B	1101 1163 11AE
AE8C	1101 1163 11AF
AE8D	1101 1163 11B0
AE8E	1101 1163 11B1
AE8F	1101 1163 11B2
AE90	1101 1163 11B3
AE91	1101 1163 11B4
AE92	1101 1163 11B5
AE93	1101 1163 11B6
AE94	1101 1163 11B7
AE95	1101 1163 11B8
AE96	1101 1163 11B9
AE97	1101 1163 11BA
AE98	1101 1163 11BB
AE99	1101 1163 11BC
AE9A	1101 1163 11BD
AE9B	1101 1163 11BE
AE9C	1101 1163 11BF
AE9D	1101 1163 11C0
AE9E	1101 1163 11C1
AE9F	1101 1163 11C2
AEA0	1101 1164
AEA1	1101 1164 11A8
AEA2	1101 1164 11A9
AEA3	1101 1164 11AA
AEA4	1101 1164 11AB
AEA5	1101 1164 11AC
AEA6	1101 1164 11AD
AEA7	1101 1164 11AE
AEA8	1101 1164 11AF
AEA9	1101 1164 11B0
AEAA	1101 1164 11B1
AEAB	1101 1164 11B2
AEAC	1101 1164 11B3
AEAD	1101 1164 11B4
AEAE	1101 1164 11B5
AEAF	1101 1164 11B6
AEB0	1101 1164 11B7
AEB1	1101 1164 11B8
AEB2	1101 1164 11B9
AEB3	1101 1164 11BA
AEB4	1101 1164 11BB
AEB5	1101 1164 11BC
AEB6	1101 1164 11BD
AEB7	1101 1164 11BE
AEB8	1101 1164 11BF
AEB9	1101 1164 11C0
AEBA	1101 1164 11C1
AEBB	1101 1164 11C2
AEBC	1101 1165
AEBD	1101 1165 11A8
AEBE	1101 1165 11A9
AEBF	1101 1165 11AA
AEC0	1101 1165 11AB
AEC1	1101 1165 11AC
AEC2	1101 1165 11AD
AEC3	1101 1165 11AE
AEC4	1101 1165 11AF
AEC5	1101 1165 11B0
AEC6	1101 1165 11B1
AEC7	1101 1165 11B2
AEC8	1101 1165 11B3
AEC9	1101 1165 11B4
AECA	1101 1165 11B5
AECB	1101 1165 11B6
AECC	1101 1165 11B7
AECD	1101 1165 11B8
AECE	1101 1165 11B9
AECF	1101 1165 11BA
AED0	1101 1165 11BB
AED1	1101 1165 11BC
AED2	1101 1165 11BD
AED3	1101 1165 11BE
AED4	1101 1165 11BF
AED5	1101 1165 11C0
AED6	1101 1165 11C1
AED7	1101 1165 11C2
AED8	1101 1166
AED9	1101 1166 11A8
AEDA	1101 1166 11A9
AEDB	1101 1166 11AA
AEDC	1101 1166 11AB
AEDD	1101 1166 11AC
AEDE	1101 1166 11AD
AEDF	1101 1166 11AE
AEE0	1101 1166 11AF
AEE1	1101 1166 11B0
AEE2	1101 1166 11B1
AEE3	1101 1166 11B2
AEE4	1101 1166 11B3
AEE5	1101 1166 11B4
AEE6	1101 1166 11B5
AEE7	1101 1166 11B6
AEE8	1101 1166 11B7
AEE9	1101 1166 11B8
AEEA	1101 1166 11B9
AEEB	1101 1166 11BA
AEEC	1101 1166 11BB
AEED	1101 1166 11BC
AEEE	1101 1166 11BD
AEEF	1101 1166 11BE
AEF0	1101 1166 11BF
AEF1	1101 1166 11C0
AEF2	1101 1166 11C1
AEF3	1101 1166 11C2
AEF4	1101 1167
AEF5	1101 1167 11A8
AEF6	1101 1167 11A9
AEF7	1101 1167 11AA
AEF8	1101 1167 11AB
AEF9	1101 1167 11AC
AEFA	1101 1167 11AD
AEFB	1101 1167 11AE
AEFC	1101 1167 11AF
AEFD	1101 1167 11B0
AEFE	1101 1167 11B1
AEFF	1101 1167 11B2
AF00	1101 1167 11B3
AF01	1101 1167 11B4
AF02	1101 1167 11B5
AF03	1101 1167 11B6
AF04	1101 1167 11B7
AF05	1101 1167 11B8
AF06	1101 1167 11B9
AF07	1101 1167 11BA
AF08	1101 1167 11BB
AF09	1101 1167 11BC
AF0A	1101 1167 11BD
AF0B	1101 1167 11BE
AF0C	1101 1167 11BF
AF0D	1101 1167 11C0
AF0E	1101 1167 11C1
AF0F	1101 1167 11C2
AF10	1101 1168
AF11	1101 1168 11A8
AF12	1101 1168 11A9
AF13	1101 1168 11AA
AF14	1101 1168 11AB
AF15	1101 1168 11AC
AF16	1101 1168 11AD
AF17	1101 1168 11AE
AF18	1101 1168 11AF
AF19	1101 1168 11B0
AF1A	1101 1168 11B1
AF1B	1101 1168 11B2
AF1C	1101 1168 11B3
AF1D	1101 1168 11B4
AF1E	1101 1168 11B5
AF1F	1101 1168 11B6
AF20	1101 1168 11B7
AF21	1101 1168 11B8
AF22	1101 1168 11B9
AF23	1101 1168 11BA
AF24	1101 1168 11BB
AF25	1101 1168 11BC
AF26	1101 1168 11BD
AF27	1101 1168 11BE
AF28	1101 1168 11BF
AF29	1101 1168 11C0
AF2A	1101 1168 11C1
AF2B	1101 1168 11C2
AF2C	1101 1169
AF2D	1101 1169 11A8
AF2E	1101 1169 11A9
AF2F	1101 1169 11AA
AF30	1101 1169 11AB
AF31	1101 1169 11AC
AF32	1101 1169 11AD
AF33	1101 1169 11AE
AF34	1101 1169 11AF
AF35	1101 1169 11B0
AF36	1101 1169 11B1
AF37	1101 1169 11B2
AF38	1101 1169 11B3
AF39	1101 1169 11B4
AF3A	1101 1169 11B5
AF3B	1101 1169 11B6
AF3C	1101 1169 11B7
AF3D	1101 1169 11B8
AF3E	1101 1169 11B9
AF3F	1101 1169 11BA
AF40	1101 1169 11BB
AF41	1101 1169 11BC
AF42	1101 1169 11BD
AF43	1101 1169 11BE
AF44	1101 1169 11BF
AF45	1101 1169 11C0
AF46	1101 1169 11C1
AF47	1101 1169 11C2
AF48	1101 116A
AF49	1101 116A 11A8
AF4A	1101 116A 11A9
AF4B	1101 116A 11AA
AF4C	1101 116A 11AB
AF4D	1101 116A 11AC
AF4E	1101 116A 11AD
AF4F	1101 116A 11AE
AF50	1101 116A 11AF
AF51	1101 116A 11B0
AF52	1101 116A 11B1
AF53	1101 116A 11B2
AF54	1101 116A 11B3
AF55	1101 116A 11B4
AF56	1101 116A 11B5
AF57	1101 116A 11B6
AF58	1101 116A 11B7
AF59	1101 116A 11B8
AF5A	1101 116A 11B9
AF5B	1101 116A 11BA
AF5C	1101 116A 11BB
AF5D	1101 116A 11BC
AF5E	1101 116A 11BD
AF5F	1101 116A 11BE
AF60	1101 116A 11BF
AF61	1101 116A 11C0
AF62	1101 116A 11C1
AF63	1101 116A 11C2
AF64	1101 116B
AF65	1101 116B 11A8
AF66	1101 116B 11A9
AF67	1101 116B 11AA
AF68	1101 116B 11AB
AF69	1101 116B 11AC
AF6A	1101 116B 11AD
AF6B	1101 116B 11AE
AF6C	1101 116B 11AF
AF6D	1101 116B 11B0
AF6E	1101 116B 11B1
AF6F	1101 116B 11B2
AF70	1101 116B 11B3
AF71	1101 116B 11B4
AF72	1101 116B 11B5
AF73	1101 116B 11B6
AF74	1101 116B 11B7
AF75	1101 116B 11B8
AF76	1101 116B 11B9
AF77	1101 116B 11BA
AF78	1101 116B 11BB
AF79	1101 116B 11BC
AF7A	1101 116B 11BD
AF7B	1101 116B 11BE
AF7C	1101 116B 11BF
AF7D	1101 116B 11C0
AF7E	1101 116B 11C1
AF7F	1101 116B 11C2
AF80	1101 116C
AF81	1101 116C 11A8
AF82	1101 116C 11A9
AF83	1101 116C 11AA
AF84	1101 116C 11AB
AF85	1101 116C 11AC
AF86	1101 116C 11AD
AF87	1101 116C 11AE
AF88	1101 116C 11AF
AF89	1101 116C 11B0
AF8A	1101 116C 11B1
AF8B	1101 116C 11B2
AF8C	1101 116C 11B3
AF8D	1101 116C 11B4
AF8E	1101 116C 11B5
AF8F	1101 116C 11B6
AF90	1101 116C 11B7
AF91	1101 116C 11B8
AF92	1101 116C 11B9
AF93	1101 116C 11BA
AF94	1101 116C 11BB
AF95	1101 116C 11BC
AF96	1101 116C 11BD
AF97	1101 116C 11BE
AF98	1101 116C 11BF
AF99	1101 116C 11C0
AF9A	1101 116C 11C1
AF9B	1101 116C 11C2
AF9C	1101 116D
AF9D	1101 116D 11A8
AF9E	1101 116D 11A9
AF9F	1101 116D 11AA
AFA0	1101 116D 11AB
AFA1	1101 116D 11AC
AFA2	1101 116D 11AD
AFA3	1101 116D 11AE
AFA4	1101 116D 11AF
AFA5	1101 116D 11B0
AFA6	1101 116D 11B1
AFA7	1101 116D 11B2
AFA8	1101 116D 11B3
AFA9	1101 116D 11B4
AFAA	1101 116D 11B5
AFAB	1101 116D 11B6
AFAC	1101 116D 11B7
AFAD	1101 116D 11B8
AFAE	1101 116D 11B9
AFAF	1101 116D 11BA
AFB0	1101 116D 11BB
AFB1	1101 116D 11BC
AFB2	1101 116D 11BD
AFB3	1101 116D 11BE
AFB4	1101 116D 11BF
AFB5	1101 116D 11C0
AFB6	1101 116D 11C1
AFB7	1101 116D 11C2
AFB8	1101 116E
AFB9	1101 116E 11A8
AFBA	1101 116E 11A9
AFBB	1101 116E 11AA
AFBC	1101 116E 11AB
AFBD	1101 116E 11AC
AFBE	1101 116E 11AD
AFBF	1101 116E 11AE
AFC0	1101 116E 11AF
AFC1	1101 116E 11B0
AFC2	1101 116E 11B1
AFC3	1101 116E 11B2
AFC4	1101 116E 11B3
AFC5	1101 116E 11B4
AFC6	1101 116E 11B5
AFC7	1101 116E 11B6
AFC8	1101 116E 11B7
